#54001: 	#ame Thunder over the jungle
#54002: 	#ame Another day, another morning, another reconnaissance mission. Get up, you have a long journey ahead!
#54003: 	#ame March 1, 1967, 0515 a.m.
#54004: 	#ame Cambodia, near the Ho-Chi-Minh Trail 
#54005: 	#ame March 1, 1967, 0530 a. m.
#54006: 	#ame Jungle in South Vietnam, close to the Cambodian border
#54007: 	#ame Thunder over the jungle
#54008: 	#ame An American plane has crashed nearby. The pilot must be found before the Vietcong can get him. Go, go, go, soldiers!
#54009: 	#ame Check the crash site
#54010: 	#ame Find the pilot
#54011: 	#ame Take the pilot to the landing zone
#54012: 	#ame Fly with the entire team and the rescued pilot to the base
#54014: 	#ame Rescue the captured pilot
#54015: 	#ame Blow up the cache
#54016: 	#ame to untie the pilot
#54017: 	#ame Thunder over the jungle
#54018: 	#ame Wrecked plane, pilot nowhere to be seen. He was parachuting nearby, look for him, soldiers!
#54019: 	#ame Thunder over the jungle
#54020: 	#ame The jungle is swarming with the Vietcong, this rescue mission will surely be interesting! Hurry or the enemy will get to the pilot first!
#54021: 	#ame Thunder over the jungle
#54022: 	#ame Charlie’s nest is here, all the VC have swarmed out of it like ants! But you still have to complete the task – find the pilot!
#54023: 	#ame Thunder over the jungle
#54024: 	#ame You found the parachute hanging on the tree but the pilot is nowhere to be seen. It looks like the enemy found him. You have to find and rescue him immediately!
#54025: 	#ame Thunder over the jungle
#54026: 	#ame The pilot of the shot-down Thunderchief is held captive by a Vietcong group. Do you know what that means, soldier? A rescue operation! You must rescue the pilot immediately!
#54027: 	#ame Thunder over the jungle
#54028: 	#ame Good job, the pilot is safe for now. Now you need to find a suitable spot for landing and call the chopper. So, get going, soldiers!
#54029: 	#ame Thunder over the jungle
#54030: 	#ame The pilot was rescued. You must now take him to the landing zone, wait for the chopper and the mission will be complete.
#54031: 	#ame Thunder over the jungle
#54032: 	#ame Charlie has a den in the jungle around here. But don’t let that distract you. Proceed to the landing zone.
#54033: 	#ame Thunder over the jungle
#54034: 	#ame You found a landing zone, now you need to wait for the chopper to pick you up!
#54035: 	#ame to check the pilot
	\t Intelligence has informed the A-216 commander about the existence of a VC underground factory manufacturing ammunition and explosives for enemy guerilla units operating in the area. According to intelligence the NVA across the border are facing serious problems in their supply chain and are on the verge of total disintegration, as the American air force intensively attacks their supply convoys on the Ho-Chi-Minh trail. Thus, the NVA have been unable to supply ammunition to their VC units. For that reason, the North has transferred several specialists from the Democratic Republic of Vietnam to this area who have launched the production of ammunition and explosives from stolen materials. Intelligence indicates a successful strike against this factory could seriously disrupt and possibly, completely paralyze (if only temporarily) the guerilla’s ability to conduct massive offensive activities in the area. However, the South Vietnamese reconnaissance information is rather sketchy, incomplete and inaccurate, so the strike will be conducted with a certain amount of risk.\n
	\n
	Course of action:\n
	\t The mission must be precisely timed. An F-4 (call sign “Buffalo 2” will attack the target area at 1900. At 1905 sharp, three UH-1s will appear above the area carrying an assault group. In one pass the gunners on board will try to kill as many surviving guerilla troops as possible who are defending the building where the North Vietnamese experts are located.\n
	\t The drop will take place immediately after. Speed will be critical. Only Hammer 1 will go into the building itself. The remaining Hammer 2 members will secure the path to the landing zone, the area surrounding the building and keep guerilla reinforcements at bay with gunfire. The assault team will thus gain the time required for successful task completion. The most important task is to kill the North Vietnamese experts, destroy the manufacturing machines and put the factory out of operation, rendering it irreparable. As soon as the primary mission objectives are completed, the entire unit must be rapidly evacuated as fierce enemy retaliation is expected.\n
	
	
#53210: 	#ame Operation "Fist Alpha"\n
	5 SF, A-216 team.\n
	\n\n
	Location: a series of camps and encampments about 10 kilometers inside the Cambodian boarder. \n
	            (Details on destination are top secret.)\n
	\n
	Mission execution date and time: \n
\t May 16, 1967, 1530 - 1830\n
	\n
	Primary mission objective: \n
\t retaliation attack on the 32nd regiment of the 1st NVA division’s camp. \n
	\t Destroy the NVA’s artillery equipment
\t Destroy fuel supplies of the 32nd regiment of the 1st NVA division.\n
	\n
	\n
	Secondary mission objective: \n
\t Kill high ranking officers of the 32nd regiment of the 1st NVA division \n
\tAcquire intelligence documents.\n
	\n
	\n
	Team: entire.\n
	\n
	Call sign: “Fist Alpha”.\n
	\n
	Co-operating units: \n
\t A-263 (“Fist Sigma”), A-278 (“Fist Omega”) and 115th CIDG company (“Fist Gamma”).\n
	\n
	Situation: \n
#53211: 	#ame \t When interrogating the guerillas captured during the assault on Nui Pek on May 9, the LLDB intelligence officers learned the precise location of the extensive camp complex serving as the base for the units of the 32nd regiment of the 1st NVA division in Cambodia. In addition, this regiment provides logistic and military support to the guerillas on the other side of the border, where the A-216 team operates. A battery of M-46 130 mm field cannons, is located in this camp which the North Vietnamese employ for shelling targets on the South Vietnamese side of the border. \n
	\t It was thus decided to carry out a top secret mission called “Fist Alpha” and attack this battery, render it non-functional, destroy the regiment’s fuel supplies used for supply vehicles, try to kill any high-ranking officers from the regiment’s command and obtain intelligence information and documents.\n
	\t Teams A-253 and A-278 will attack different targets in the same complex within this operation and the 115th CIDG platoon in conjunction with USAF aircraft will launch diversionary attacks before the mission begins on less important targets. The final task, once the above primary tasks have been completed, is to guide the USAF aircraft to the entire complex so it can be bombed.\n
	\n
	Course of action: \n
	\t Individual teams will be dropped by choppers several kilometers from their targets at 1530. The drop off will be synchronized with the commencement of diversionary USAF aircraft action. They will take off from bases in Thailand and bomb less important targets in and around the base complex. Simultaneously, the 115th CIDG platoon will attack the complex from the opposite (north) side. The combination of these actions should divert the North Vietnamese’s attention from the primary targets.\n
	\t Team A-216, entrusted with the most difficult task, must destroy the M-46 cannon battery. Only its approximate location is known, as it is thoroughly camouflaged and air reconnaissance has not yet been able to detect it and confirm its presence. We presume, that whole area around cannon battery is heavily guarded and has its own radio station Team must first eliminate the guards and destroy the radio, to prevent NVA regimental command being alarmed. Then the actual destruction of the field guns may begin \n
#53212: 	#ame 
\t. Afterwards, the team will focus on the 32nd regimental command center. This is located approximately one klick from the battery position. Primary target are obviously the guards around the base. We can presume, that their concentration will be partly disrupted by cover actions of Gamma and USAF. After elimination of guards the team will secure the base surroundings and SFC Douglas will infiltrate inside the complex, directly to the regimental command center. Here if possible, he will kill any high ranking officers, especially the regimental commander, colonel Lu Van Hao. Needed is also retrieval of any strategically important documents. \n
\t Then SFC Douglas will destroy the fuel supplies the North Vietnamese desperately need. Next, they will guide the bombers in and quickly evacuate. Radio navigation of B-52 bombers will be done by team Sigma.\n
	\n
#53213: 	#ame Appendix: commander of 32nd regiment of 1st NVA division, colonel Lu Van Hao, brief characterization:\n
	One of the most able North Vietnamese professional soldiers\n
	Born on November 15 in Phat Diem in Annam\n
	He was one of the first members of Vietnamese party, in age of 19\n
	Friend of Ho Chi Minh and Giap, true communist\n
	Member of resistance against French, for which he was punished in 1939. He run out to China, where he fought alongside the Mao's Red Army\n
	After the founding of Viet Minh volunteered for Vietnam fight, but Ho Chi Ming let him in the China, to gain more experience\n
	In the year 1943 returned to Vietnam and fought against Japanese and French colonial administration. He had connections with American OSS\n
	After the end of the World War II he fought against french expeditional forces. Viet Minh units under his command were well known for their high battle morale, iron discipline and fanatical resolution. They were also known for the cruelty against civilians, especially in areas inhabited by Catholics. Hao is absolutely ruthless, when he needs to be, he has no respects for lives of his soldiers, let alone for life of prisoners or civilians. He often commands his troops to do absolutely crazy and suicidal attacks. There is only one punishment for not obeying his orders: bullet. \n
	Veteran from Dien Bien Phu, where he commanded assault battalion moving in the first line against french battlements.\n
	Awarded by several North Vietnamese and China military medals.\n
	After the french defeat attended military schools in the Soviet Union.\n
	In the yearly sixties refused high position in the general staff and chose command in the battle unit.\n
	\n
	\n
	IMPORTANT NOTICE: NO EVIDENCE REVEALING THE PRESENCE OF AMERICAN TROOPS IN CAMBODIA MAY BE LEFT ON CAMBODIAN SOIL!!!\n
	
	
	
	
	
	
#53215: 	#ame Mission name: \n
\t Without name (ordinary reconnaissance)\n
	\n
	Mission start date and time: \n
\t Feb. 27, 1967, 0300.\n\n
	Assumed mission completion date and time: March 3, 1967, 12:00.\n
	Actual mission completion date and time: \n
\t March 1, 1967, 0937.\n
	\n
	Location: \n
\t Area alongside the Cambodian border near Nui Pek hill, \n
\t sector 6-23 Delta, \n
\t Plei Ku prov., II. CTZ\n
	\n
	\t While executing routine mission, its primary goal being to find a suitable location to build a CIDG training camp and establish contact with local residents, the team established visual contact with the US aircraft damaged over the Ho Chi Minh Trail, whose pilot managed to eject before the aircraft crashed. The Thunderchief crashed several hundred meters away in the jungle.\n
	\t The team immediately began searching for the pilot and radioed captain Rosenfield to call off the USAF’s rescue operation, as they were in the area and would carry out the search. They also requested airlift by chopper, should there be a need to quickly evacuate.\n
	\t Pilot, lieutenant Francis Bradley, was found unconscious, but only with mild injuries. The team ran into a small VC unit operating in that area. The enemy immediately came to the crash area, in attempt to capture the pilot and acquire materials from the wreckage. After the pilot was found and treated initially, the team made for the landing zone under constant fire. The chopper extracted them.\n
	
	
#53220: 	#ame Mission name: \n
\t “Golden Gift”\n
	\n
	Mission start date: \n
\t March 18, 1967, 0600.\n\n
	Actual mission completion date: \n
\t March 18, 1967, 1331.\n
	\n
	Location: \n
\t Canyon near the Jarai village, the village itself.\n
	\n
	\t The A-216 team lead by SFC Douglas’ task was to explore the Jarai village and establish friendly contact with the tribe in order to convince them to join the CIDG project and guard the border areas.\n
	\t After they were dropped off near the village and met with the elders, their negotiations were suddenly disrupted by a local guard reporting several guerillas units approaching.\n
	\t The team immediately took up positions in front of the village as SFC. Douglas was worried about casualties among villagers, should the battle take place in the middle of the Montagnard village. Following a short fire-fight, the team killed the guerillas who probably came to steal food from the villagers.\n
	\t This event broke the ice and the villagers promised help and support especially after Sgt. Douglas let them keep the guns from the dead communists. One of the villagers who spoke broken English, said he could take the team to a place which is used by the VC. Thus they found an unexpected target – a secret guerilla hanging bridge over a gorge. Its importance was clear from the fact it was guarded by machine gun post. After these were destroyed, sapper Bronson blew up the bridge using the C-4 explosives and the team transferred to landing zone “Echo Zulu”, from which they were airlifted.\n
	
	
	
	
#53225: 	#ame Mission name: \n
\t “Pandora’s Box”\n
	\n
	Mission execution date: \n
\t April 28, 1964\n\n
	\n
	Mission execution time: \n
\t 1900 – 1955.\n
	\n
	Location: \n
\t Deserted village and a Buddhist temple in Ai Tu.\n
	\n
	\t The A-216 team’s task was to destroy the ammunition factory supplying the local VC units which were located by South Vietnamese reconnaissance in the underground area under the Buddhist temple near the deserted Ai Tu village.\n
	\t Just before they were dropped off, a USAF F-4 Phantom II attacked the target area. Afterwards, the A-216 team accompanied by several mountaineers from CIDG, were dropped off by three UH-1. They encountered relatively strong resistance from the enemy on the ground. Despite that, the selected men were able to get into the temple and underground spaces where they successfully completed their tasks. The North Vietnamese experts were killed and sapper Bronson placed C-4 explosive throughout the entire structure whose detonation was set to 1955. In the meantime, the cover team on the surface kept the enemy at a distance with constant fire. Afterwards, the entire team was evacuated under heavy fire.\n
	\t The explosives detonated at 1955 sharp, right before the evacuation choppers left the area. A strong explosion was seen followed by a chain of smaller secondary explosions. The building was completely destroyed.\n
	
	
	
	
#53230: 	#ame Mission name: \n
\t none.\n
	\n
	Date: May 15, 1967\n
	\n
	Location: \n
\t Nui Pek camp and its immediate surroundings.\n
	\n
	\t The VC attacked the Nui Pek base under construction on May 9 at 0500, possibly in retaliation for their ammunition factory which was destroyed and as a reaction to the strong presence of SF in the area. Since the unit was notified beforehand about a possible attack, and command took this warning seriously, the defense of the base was quickly intensified by newly built machinegun posts and barricades.\n
	\t Following the initial intense enemy attack, the unit managed to slow the enemy down and eventually stop him. The enemy responded with mortar-fire which were destroyed by the brave action of SFC Douglas and SFC Bronson. After this successful counter attack, the enemy was completely weakened and the attack on Nui Pek was ended at: 1000 as stated in the report to Plei Ku.\n
	\t During the cleaning operations there was a strong explosion nearby the base. It was probably a howitzer shell, luckily it didn't hit the base and there was no further damage from the explosion, but it is only matter of time till the howitzer battery hidden probably in the jungle at the border with Cambodia improves it's aim and destroys the SF camp. Finding and elimination of this howitzer battery is now mission of maximal priority. Survival of the Nui Pek camp depends on it.
	
	
	
#53235: 	#ame Mission name: \n
\t “Fist Alpha”\n
	\n
	Mission execution date: \n
\t 16.5.1967\n
	\n
	Mission execution time: \n
\t 1530 – 1900.\n
	\n
	Location: \n
\t Border area inside Cambodia, called “Acapulco” (as it is top secret).\n
	\n
	\n
	\t The A-216 team lead by Sgt. Douglas participated in an extensive secret mission across the Cambodia border. The team was dropped off in the jungle, 4 kilometers from a cannon battery (spot height “Clove”) which they were to destroy. Upon quietly approaching and destroying the anti-aircraft gun post, the team members shot the cannon operators and using the C-4 explosives, blew up the cannons. After destroying the battery, the team made their way to the command of the 32nd NVA regiment, about 5 kilometers away, where their fuel storage was located. Under cover, the team killed the machine gunners in their posts and then attacked the anti-aircraft gun posts killing several officers and placed C-4 explosives. Afterwards, the team members retreated to landing zone “Alligator” from which they were airlifted by two UH-1s. \n
	\t This was followed by a massive combined air raid which set the entire base complex on fire.\n
	
#53240: 	#ame Nguyen Van Coc
#53241: 	#ame Le Thanh Dao
#53242: 	#ame Vu Ngoc Dinh
#53243: 	#ame Nguyen Ngoc Do
#53244: 	#ame Dang Ngoc Ngu
#53245: 	#ame Nguyen Duc Soat
#53246: 	#ame Pham Ngoc Loan
	
	
	
	
	
	
	
	
	
	
	
	
	
	
#53250: 	#ame TECHNICAL EQUIPMENT AND VEHICLE DESCRIPTION \n
	\n
#53251: 	#ame AIRCRAFT AND HELICOPTERS\n
	\n
#53259: 	#ame B-52
#53260: 	#ame Boeing B-52 Stratofortress \n
#53261: 	#ame It began service in 1952 as a strategic bomber. The USAF deployed its D and F versions in Vietnam. It is a conventional bomber, used for strategic bombing of the Democratic Republic of Vietnam, as well as for tactical bombing purposes when needed to support allied assault missions. These eight-engine monsters could be seen over the Ho-Chi-Minh trail, Hanoi and Haiphong, or in the sky over the South Vietnamese jungle, as well as the Mu Gia pass. The Stratofortresses were deployed from the Andersen base in Guam and U-Tapao in Thailand.\n
	                Crew:…....…….............6 men\n
	                Length:………………..47.85 meters\n
	                Wingspan:…………...56.39 meters\n
	                Height:……………….12.4 meters\n
	                Maximum speed:….…1,014 km/h at an altitude of 12,200 meters\n
	                Weapons: \n
	- 20 mm caliber cannon located in the remotely controlled and radar guided tail shooting area\n
	                        - up to 24,000 kg of bombs\n
	
#53269: 	#ame F-4
#53270: 	#ame McDonnell Douglas F-4 Phantom II. \n
#53271: 	#ame One of the most successful and important fighter jets of the 60’s. Originally designed as a naval deck fighter, was used by air force units in all sections of the US Military. This large two-seater aircraft was originally armed with only air-to-air guided missiles, which was the norm at the end of the 50’s and beginning of the 60’s in the west. Eventually, drawing from experience in battle with the North Vietnamese MiGs, they were additionally armed with M-61 A six-barrel rotary cannons. It was deployed in Vietnam as a full fledged “thoroughbred” fighter jet and also used for tactical bombing raids and support for allied ground troops.\n
	           Length:…………………………...17.77 meters\n
	           Wingspan:………………………11.71 meters\n
	           Height:…………………………..4.95 meters\n
	           Maximum speed:………………..2,413 km/h \n
	(Mach=2.27) at an altitude of 13,715 meters.\n
	\n
	           Flight range (with four anti-aircraft guided Sparrow missiles and \n
	a 2,270 liter additional tank): 2,860 km\n
	           Empty aircraft weight:…..12,654 kg\n
	           Maximum takeoff weight:….24,857 kg\n
	 \n
	The Phantom II version E could be nicknamed the “child of Vietnam”. In comparison to other versions, it was improved significantly, the most important improvements being the installation of special wing flaps, providing better maneuverability while fully loaded, as well as the standard mounting of the M-61 A1 cannon:\n
	Length:……………………..…19,20 meters\n
	Wingspan:……………………..11.70 meters\n
	Height:……………………….…5.03 meters\n
	Maximum speed:……………….2,369 km/h (Mach=2,23) at an altitude of 12,190 meters\n
	flight range (with one 2,270 liter and two 1,400 liter auxiliary tanks): ………………………..2,596 kilometers\n
	Empty aircraft weight:…….13,757 kg\n
	Maximum takeoff weight:……28,030 kg\n
	\n
	
	
#53279: 	#ame F-105D
#53280: 	#ame Republic F-105D Thunderchief\n
#53281: 	#ame The famous Thud. The USAF obtained the Thunderchief version D on Sept. 28, 1960. However, they didn’t get it into service with the first operation unit – 4th TFW – until the summer of the following year. Even though the F-4 Phantom II became the symbol of American supremacy in southeast Asia, it is an known fact the Thud was the “workhorse” of the bombing offensive against the Democratic Republic of Vietnam. The EF-105F version of the two-seater Thunderchief proved to be efficient during the dangerous “Wild Weasel” missions, where their crews over North Vietnam would detect SAM anti-aircraft missile batteries and attract their fire, ahead of bomber or fighter raids.\n
	This large, all-weather fighter aircraft was originally designed as a one-seater and was able to bomb with conventional bombs as well as attack with tactical nuclear weapons. In addition, it was efficient in traditional dog-fights with enemy fighter jets. For this reason it was equipped with the M-61 A1 20 mm cannon. It can be said it met all the requirements but it was relatively vulnerable to anti-aircraft machine gun fire.\n
	            Length:…………………………19.63 meters\n
	            Wingspan:…………………….10.64 meters\n
	            Height:…………………………5.99 meters\n
	            Maximum speed:……………...2,208 km/h (Mach=2,08) at an altitude of 11,000 meters\n
	                                            .…………..1,345 km/h (Mach=1,1) \n
	at sea level\n
	            Flight range:…………………..3,552 kilometers\n
	            Empty aircraft weight:….12,181 kg\n
	            Maximum takeoff speed:…23,967 kg\n
	
#53289: 	#ame Ch-47
#53290: 	#ame Boeing CH-47 Chinook\n
#53291: 	#ame One of the most widely used universal fighter helicopters. This two-rotary monster won recognition and admiration due for its multi-purpose use. The American Army received the first Chinooks in the late 1962. Supposedly their first mission was the battle in the Ia Drang valley near the Cambodian border, which the Americans fought in the fall of 1965. In Vietnam, the Chinooks served to transport large ally units, heavy loads and was additionally armed with machine guns and cannons similar to a “gunship”.\n
	           Length:…………………30.18 meters\n
	           Rotor diameter:………..18.29 meters\n
	           Maximum speed:….…..256 km/h\n
	           Range:………………….370 km\n
	           Dead weight:………...44 soldiers or 12,700 kg load\n
#53299: 	#ame UH-1 Huey
#53300: 	#ame Bell UH-1 Iroquois/Huey\n
#53301: 	#ame Bell’s Iroquois versions B, C, D and H is one-engine, versatile helicopter with a traditional design utilizing a two-blade supporting and stabilizing rotor. It was designed to be a maneuverable craft for the transportation of personnel as well as material to front lines. The quality of this chopper is attested to by the fact that various versions of it are still used by numerous countries all over the world. The US Army used it for transportation, evacuation, rescue, the transfer of injured soldiers, as well as an attack aircraft. In addition, it was used as a supply aircraft equipped with spray bars for spraying defoliants and proved to be useful in transporting special units as well as CIA agents. It’s impossible to say how many soldiers the UH-1 has transported into missions, how many injured soldiers it saved or how many dead soldiers flew on board. This machine, more than anything else, is a symbol of the Vietnam war. Its very well known factory name – Iroquois – has been almost forgotten, as the public know it by only one name, “Huey”.\n
	           Length:………………………..17.6 meters\n
	           Main rotor diameter:………...14.6 meters\n
	           Maximum speed:………….…204 km/h\n
	           Range:………………………...512 km\n
	           Dead weight:……………..….1,950 kg\n
	
	
#53350: 	#ame TECHNICAL SURFACE EQUIPMENT\n
	
#53359: 	#ame M-151
#53360: 	#ame Ford M-151 Mutt \n
#53361: 	#ame Light and lively terrain vehicle of the US Army and Marines. A dignified successor of the Willis Jeep. Equipped with a gas four-cylinder engine whose output is 53 kW at 4,000 rev/min. It provided a 60% climb and a range of 480 km, with an off-road cargo load of 363 kg. In Vietnam, in addition to their primary function as quick transport, the Mutts also served as radio and armored vehicles equipped with heavy machine guns which accompanied military convoys and were also used by the American MPs. Mutts with Browning M-2 gun-carriages are a powerful and efficient weapon when fighting the enemy.\n
	
#53369: 	#ame M-35
#53370: 	#ame REO M-35 \n
#53371: 	#ame This multi-purpose vehicle developed right after the WWII was originally manufactured by REO and later by Kaiser Jeep Co. The vehicle had a diesel engine and a 4-speed manual transmission. The M-35 was highly reliable and easy to maintain. Its numerous versions were manufactured as: a traditional transport vehicle, a tanker, construction vehicle, etc. The Vietnam era model was equipped with an M-60 machine gun placed over the passenger seat.\n
	           Weight:……………………….…….5.9 tons\n
	           Length:……………………………...6.7 meters\n
	           Transport load weight:……………..4.5 tons\n
	           Maximum speed:……………..……90 km/h\n
	           Range:…………………………..…480 km\n
	
#53379: 	#ame M-46
#53380: 	#ame M-46 field cannon (Chinese copy: 59 type) \n
#53381: 	#ame This cannon was developed in the 1950’s. Its 58 caliber barrel provides an unusually long range of 27 kilometers! In addition to the Soviet Red Army and the Chinese Communist Army, this cannon was used in almost all wars and local conflicts during the late 20th century. This type is widely used by armies of various countries over the world. During the Vietnam conflict this cannon was popular with the North Vietnamese Army, which thanks to its outstanding range, was able to shell both American and South Vietnamese targets located within the wide border area, while remaining safely stationed inside Cambodia.\n
	           Crew:………………………..…..9 men\n
	           Ammo:………………………….130 mm\n
	           Weight:………………………….8,400 kg\n
	           Barrel length:…………………..7.6 meters\n
	           Traditional cartridge weight:…….33.4 kg\n
	           Range:……………………………27,150 meters\n
	           Rate of fire:………………………….6 shots/min.\n
	
#53389: 	#ame ZIL-157
#53390: 	#ame ZIL-157\n
#53391: 	#ame This is a medium-class three-axle off-road vehicle. This versatile truck was manufactured in various modifications – a tanker, dray, box, radio vehicle, etc. It’s excellent off-road driving abilities made it perfect for transporting materials and supplies on the Ho-Chi-Minh trail. The NVA also used it to transport SA-2 rockets. The vehicle was equipped with a six-cylinder gas engine whose output at 2,800 rev/min is 80 kW.\n
	           Length:……………………………….6.70 meters\n
	           Width:………………………………..2.32 meters\n
	           Load weight – on road:……………...4,500 kg\n
	                                 - off road:…..……...….2,500 kg\n
	           Maximum speed:…………………...65 km/h\n
	
#53399: 	#ame GAZ-67
#53400: 	#ame GAZ-67 \n
#53401: 	#ame Also known as the “Chapayev”. Essentially, this is a copy of the American Willis Jeep (version A) which were provided to the Soviet Army by the USA during WWII, before its more famous B version.\n
	Soviet industry however, was not able to copy the American original with the necessary precision or use quality materials, thus the copy, type 67, was indeed no match for its original. In reality, the GAZ was highly defective. Its only advantage is that it has a simple to drive unit with undemanding requirements for fuel quality.\n
	
	
#53440: 	#ame Infantry weapons\n
#53449: 	#ame Browning M2
#53450: 	#ame Browning M-2 \n
#53451: 	#ame            Ammo:…………….0.5 inch Browning (12.7 mm)\n
	           Weight:…………...39.1 kg/ 49.4 kg\n
	           Length:…………...1,653 mm\n
	           Rate of fire:……….…450-600 shots/min.\n
	           Effective range:…...2,000 meters\n
	One of the most feared weapons used by the infantry. This has been one of the most successful guns and it’s hard to believe that it was introduced some 40 years ago. The American soldiers like it for its reliability, range and devastating effect on its target. Various modifications of this weapon are used as positional weapons on tripods or in gun-carriages mounted on military vehicles or as anti-aircraft missiles. The firing ability of this air-cooled machine gun is so versatile that it can be used not only against enemy infantry targets far away, efficiently ruling out the danger from return fire, but when specialized ammunition is utilized, light fortifications, buildings or even military vehicles can be destroyed.\n
	
#53460: 	#ame Degtaryev DSK 1938 \n
#53461: 	#ame            Ammo:……………..12.7 mm\n
	           Weight:……………..35.5 kg\n
	           Rate of fire:…………...550 shots/min.\n
	This Soviet, air-cooled heavy machine gun, used as an anti-artillery weapon, was employed by the Soviet Red Army, their satellites, as well as the Chinese Communist Army. It is a massive and efficient weapon, unpopular with some guerilla groups due to its weight, which significantly restricts mobility. Despite that it is a dangerous defensive weapon, highly efficient and deadly.\n
	
#53470: 	#ame M-14 \n
#53471: 	#ame            Ammo:………………….7.62 mm x 51 (.308“)\n
	           Weight:………………….5.1 kg\n
	           Length:………….……...1,120 mm\n
	           Barrel length:……..……559 mm\n
	           Rate of fire:…………….....700 shots/min.\n
	           Magazine capacity:……..20 bullets\n
	An automatic weapon whose construction was based on the successful M-1 Garand. In the 50’s the US Army refused to follow international trends in the assault weapon industry, which were turning toward the development of light weapons utilizing smaller caliber bullets. Even though the M-14 is a very precise, top-quality, sturdy weapon with automatic and semi-automatic firing capabilities, it will be soon replaced by new weapon. In Vietnam, it is used by snipers but those were specially picked top-quality models, the most accurate ones equipped with optics.\n
#53472: 	#ame Ammo:………………….7.62 mm x 51 (.308“)\n
	Magazine capacity:……..20 bullets\n
	Rate of fire:…………….....700 shots/min.\n
	An automatic weapon whose construction was based on the successful M-1 Garand. M-14 is a very precise, top-quality, sturdy weapon with automatic and semi-automatic firing capabilities, model with sniperscopre is often used by snipers.\n
	
#53480: 	#ame 61 Scorpion\n
#53481: 	#ame            Caliber………………….7.65 mm\n
	           Weight:…………………2 kg\n
	           Length:…………….…..270 mm\n
	           Rate of fire:……………….840 shots/min\n
	           Magazine capacity:……10 – 20 bullets\n
	The 61 Scorpion machine gun was developed and manufactured in Czechoslovakia for tank crews, police and the needs of special units. When using 7.65 caliber ammo, the narrow breech was not able to absorb the recoil, therefore counterweights were added to reduce it. Despite this modification, the weapon was virtually impossible to target accurately with while firing continuously. It is still popular all over the world, unfortunately and especially with various terrorist groups because of its small size. It is said Ho-Chi-Min’s bodyguards were armed with these weapons.\n
#53482: 	#ame Ammo: 7.65 mm\n
	Magazine capacity: 10 – 20 bullets\n
	Rate of fire: 840 shots/min\n
	The 61 Scorpion machine gun was developed and manufactured in Czechoslovakia for tank crews, police and the needs of special units. It is popular all over the world, unfortunately and especially with various terrorist groups because of its small size. It is said Ho-Chi-Min’s bodyguards were armed with these weapons.\n
#53489: 	#ame SVT1940
#53490: 	#ame TOKAREV SVT1940\n
#53491: 	#ame Caliber..................................7.62 x 54\n
	Weight....……………..........3.95 kg\n
	Length..........………….........1,226 mm\n
	Magazine capacity...….........20 bullets\n
	Tokarev SVT1938 and its successor were developed during WWII in the Soviet Union. Type 1938 of this semiautomatic weapon was criticized for numerous flaws which were corrected in the 1940 type, of which over two million were produced. It was also manufactured as a special sniper gun equipped with PU optics with a 3.5 x zoom, although wasn’t as popular as other types, such as Mosin 1891/30.\n
#53492: 	#ame Ammo: 7.62 x 54R\n
	Magazine capacity: 20 bullets\n
	Tokarev SVT1940 was developed during WWII in the Soviet Union. SVT 1940, unlike it's predecessor SVT 1938, offered the automatic feature. It was also manufactured as a special sniper gun equipped with PU optics with a 3.5 x zoom.\n
	
#53500: 	#ame MAT – 49 \n
#53501: 	#ame             Ammo:…………………..9 mm Parabellum\n
	            Weight:…………………..3.5 kg\n
	            Length:……………..……460 mm\n
	            Rate of fire:………………...400 shots/min.\n
	            Magazine capacity:…..…..20 – 30 bullets\n
	A very effective French machine gun which became popular in the colonial wars in Indochina and Algeria. The magazine may be tilted forward under the barrel so this weapon is suitable for assault vehicle crews or paratroopers. In North Vietnam this weapon was slightly modified and was produced for the NVA with an extended barrel and adapted to use Soviet 7.62 TT bullets.\n
	
#53510: 	#ame Sten MK IIs\n
	\n
#53511: 	#ame      Ammo:…………………9 mm Parabellum\n
	     Weight:……………3.1 kg\n
	     Length:………………..762mm ( 908mm with silencer)\n
	     Rate of fire:……………..550 rpm (450 rpm with silencer)\n
	     Magazine capacity:….32 rounds\n
	     This submachine gun was designed as a cheap, durable and easy to manufacture gun by British designers Sheppard and Turpin during the World War II in Enfield armory (this is the reason for the name 'Sten'). Price of the gun was incredibly low, only 2.5 pounds, so the gun was manufactured in big numbers. It was used by paratroopers and vehicle crews. Also many guerilla fighters from the western Europe used this gun for it's durability.\n
	     Although the Sten is very durable gun, capable of working in both cold and dirty conditions, it has one big disadvantage - it's magazine and feeding system, since those were prone to failures to feed. It is not recommended to hold the gun by the magazine, since it could cause the jamming of the gun easily.\n
	     The Sten is used in Vietnam mainly by Australian advisors, Green Beret and Seal, especially the version with a silencer.\n
#53512: 	#ame Ammo: 9 mm Parabellum\n
	Rate of fire: 550 rpm (450 rpm with silencer)\n
	Magazine capacity: 32 rounds\n
	This sub-machine gun was designed during the World War II in England. It was used by paratroopers and vehicle crews. The Sten is used in Vietnam mainly by Australian advisors, Green Beret and NAVY SEALs, especially the version IIs with a silencer.\n
	
#53520: 	#ame M-14 mine\n
#53521: 	#ame Anti-artillery mine developed in the 1950’s. It inflicts injury or death by explosion. The casing is plastic. Detonation is achieved by applying foot pressure.\n
	
#53530: 	#ame M-18 Claymore mine\n
