#100: 	#ame  Not available in demo
#101: 	#ame  Game inactive - waiting for both sides
#102: 	#ame  US
#103: 	#ame  VC
#104: 	#ame  to take ammo
#105: 	#ame  Ammo full
#106: 	#ame  You have to drop
#107: 	#ame  to pick up
#108: 	#ame  You already have
	
	
#8761: 	#ame The team moved to the village, where the prearranged pickup point was and luckily arrived just in time to help the villagers drive off a VC raid. \n
	
#8762: 	#ame The VC raid was probably another VC retaliation on the montagnards for helping the US team.
	
#8763: 	#ame SFC Steve R. Hawkins was awarded with the Army Commendation Medal, for the heroism shown in saving the civilian lives and for the meritorious service to the war effort in discovering and destroying enemy supply caches.
	
#8764: 	#ame Mission name: Midnight Surprise\n
	Date: September 15th, 1967\n
	Time: 23:00-03:00\n
	Place: Nui Pek Camp\n
	
#8765: 	#ame During the night from 15th to 16th, a VC sapper unit launched an attack on Nui Pek camp. They dug a tunnel in to the outer perimeter and tried to take over the whole camp. There are suspicions that some VC agents in the LLDB force helped attackers, but all investigations turned futile. If it wasn't for heroic defending, the camp would have surely fallen into enemy hands. SFC Hawkins found the tunnel and blew its entrance with C-4 explosives. Clearing and locating all enemy infiltrators was finished in the morning. Although the attack failed, friendly forces sustained heavy casualties, both on personal and equipment. 
	
#8766: 	#ame By the order of the RVN area command, SFC Steve R. Hawkins was awarded the RVN Military Merit Medal for the exceptional heroism shown during the defence of the camp Nui Pek.
	
#8767: 	#ame Mission name: Operation: Tin Can\n
	Date: September 16th, 1967\n
	Time: 12:30-21:00\n
	Place: Old French military installations nearby Nui Pek Camp\n
	
#8768: 	#ame During the air recon missions over the area surrounding the Nui Pek, intelligence searched for military installations. Careful checking of photographs revealed possible enemy armored units in the area. Intelligence already reported the possibility of an NVA armored unit in the area, so after this confirmation, a larger scale attack was prepared from both endangered camps in the area, A-216 and A-253 detachment.  The mission was to locate armored units, confirm air recon and call in preplanned artillery strikes from the Pleiku camp. Although there was heavy enemy concentration in the area, occupying remnants of French installations and large tunnel system underground, there were no NVA armored units, only wrecks of old light French tanks Panhard, which had been was wrongly identified as a PT76 amphibious tank.  The A-team task force cleared the area around the fortifications and located an entrance to the underground city. SFC Hawkins was sent inside to scout the area and found the way to Khe Bana River, where he was picked by an LLDB river boat. The area was full of enemy opposition.
	
#8769: 	#ame SFC Steve R. Hawkins was awarded with the Silver Star for the gallantry in the action against an opposing armed force.
	
#8770: 	#ame Mission name: Papa Oscar Whiskey\n
	Date: September 21st, 1967\n
	Time: 02:00-04:00\n
	Place: Rong Dong village at Kha Bana River\n
	
#8771: 	#ame The A-team from A-216 led by SFC Hawkins was sent to rescue SGT Marvin Fisher POW at the village at Kha Bana River.  The team approached the village from the north and they confirmed that the POW was held in the Rong Dong village guarded by a group of VC. No civies were reported around. Then the pre-planned operation started. SFC Bronson prepared an explosion at the enemy storage hut and drew attention of the VC guards. Meanwhile SFC Hawkins rescued SGT Fisher.  The team then returned to the LZ and was evacuated as planned. After the extraction the whole area was covered by a napalm strike. No friendly casualties during this mission. Exact enemy casualties not known.  \n
	
#8772: 	#ame SFC Steve R. Hawkins was awarded the Army Commendation Medal, for the heroism shown in risking his life in order to rescue his comrade. 
	
#8773: 	#ame Mission name: Brush and Sweep\n
	Date: September 23rd, 1967\n
	Time: 17:00-21:00\n
	Place: swamp territory around Khe Bana River\n
	
#8774: 	#ame After several successful missions, the enemy panicked and moved out of their hiding places.  The rest of the surviving VC soldiers were enclosed in the swamp area near the Khe Bana river.  The A-216 team under command of SFC Hawkins was sent to replace the A-256 team and hold position as a blocking force, whilst the Psychological Operation was trying to persuade the VC to surrender. \n
Later an attack was launched, orders of: seek and destroy.  The A-team moved through the swamp and destroyed the remaining opposition. Although it’s possible that some of the VC soldiers escaped, it’s improbable. \n
	Later an attack was launched – seek and destroy. A-team moved through the swamp and destroyed the remaining opposition. Although it’s possible that some of VC soldiers escaped, it’s improbable.
	
#8775: 	#ame For assisting in the capture of enemy officers, SFC Steve R. Hawkins was awarded with the RVN Psychological Warfare Medal First Class.
	
#8776: 	#ame Mission name: Medic Patrol 35/Outpost\n
	Date: October 20th, 1967\n
	Time: 03:30-05:30\n
	Place: Nui Pek, LLDB outpost near Nui Pek \n
	
	After an urgent call from the Jarai village for medical assistance (ill montagnard with complications) SFC Hawkins, SFC Defort, SSGT Crocker and SGT Nhut (ARVN) rode the jeep to the village. Meanwhile a VC assault had begun on the LLDB outpost near the main camp. HQ then immediately sent a team to assist the outpost, which was already under mortar attack. The team arrived near the outpost and attacked the mortar groups, then helped the LLDB crew with defending the base. It seemed that the enemy was on the move, therefore the whole camp needed to increase overall security.
	
#8777: 	#ame For the heroism shown in saving endangered LLDB personal, the SFC Steve R. Hawkins was awarded with the RVN Gallantry Cross.
	
	
#8778: 	#ame Mission name: Radio Relay\n
	Date: November 9th, 1967\n
	Time: 16:30-04:00\n
	Place: Hill Dong Tam Hanh\n
	
#8779: 	#ame Radio relay on the Dong Tam Hanh hill was established to allow radio contact with the teams inserted into Khe Areh valley.  A-Team 216 was sent to relieve A-Team 217 and hold the temporally outpost until all the recon teams were extracted from enemy territory.  A-team arrived during the enemy attack and drove enemy forces back. Attacks were repeated a few times, but the A-team successfully defeated the outpost and held.
	
#8780: 	#ame Team leader SFC Steve R. Hawkins was awarded with the Bronze Star for the exceptional heroism in the fight with the enemy forces.
	
#8781: 	#ame Mission name: Po Tlong Karai\n
	Date: November 28th, 1967-November 29th, 1967\n
	Time: 06:00-04:00\n
	Place: Ruins of Po Tlong Karai in Khe Areh Valley\n
	
#8782: 	#ame Thanks to a recon being conducted in the Khe Areh valley, many enemy strongholds were localized and a full scale assault the on NVA base located at ruins of Po Tlong Karai began.  A Helicopter transporting A-team A-216 under the command of SFC Hawkins was shot down in the jungle, but the team managed to negotiate a way through full of enemy units and joined the final stages of an assault on the base. SFC Hawkins performed very well and his bravery was crucial in a final clearing of the enemy fortification. 
	
#8783: 	#ame He also managed to secure a vast amount of intelligence information from an enemy high ranking officer. \n
	
	
#8784: 	#ame After the fight, SFC Hawkins volunteered to check the tunnels which were probably used by enemy officers to escape. SFC Hawkins was unfortunately separated from the rest of team during the cave-in, but he still managed to reach the end of the escape route at the village occupied by VC forces. SFC then moved out of the village and was later successfully extracted by chopper.
	
#8785: 	#ame SFC Steve R. Hawkins was awarded with the Distinguished Service Cross for the extraordinary heroism.
	
#8786: 	#ame Mission name: Air Recon / Saving the pilot\n
	Date: December 16th, 1967\n
	Time: 08:00-10:00\n
	Place: Ricefields around Khe Bana River\n
	
#8787: 	#ame Mission goal was originally just an air recon of the area around the Khe Bana River and the confirmation and elimination of enemy presence in that specific area, but problems occurred when the chopper code named Blue Bird was shot down. SFC Hawkins was aboard the chopper Red Bird and was ordered to land nearby and rescue the surviving pilot LTN Warlington. Although there was heavy enemy presence in the area and heavy sniperfire, Hawkins managed to find the pilot and lead him to the extraction zone. Presence of enemy forces in the area, gave the impression that they were preparing an offensive.
	
#8788: 	#ame SFC Steve R. Hawkins was awarded with the Army Commendation Medal for the heroism and risking his own life in order to rescue LTN Warlington.
	
#8789: 	#ame Mission name: Bahnar village\n
	Date: January 3rd, 1968\n
	Time: 06:00-13:00\n
	Place: Area around the Bahnar tribe village\n
	
#8790: 	#ame A-team A-216 was tasked with recon patrol in the area around the Bahnar montagnard village. After landing at the LZ a few miles from the village, the team under command of SFC Hawkins fought through the heavy opposition and moved as fast as possible to the village, which was already destroyed. After entering the destroyed village the enemy started a mortar bombardment.  The team withdrew and attacked the enemy forces stationed in the forest above the village. After eliminating the opposition, the team moved to the extraction zone and was airlifted to safety.
	
#8791: 	#ame Mission name: The Bridge\n
	Date: January 7th, 1968\n
	Time: 20:00-21:00\n
	Place: Area between Nui Pek camp and abandoned LLDB outpost\n
	
#8792: 	#ame The enemy was attacking from all sides. In order to slow down the enemy, a bridge was destroyed nearby the base, to stop the enemy from moving forces to the area immediately around the base.  An air strike failed and therefore the chopper designated Hawk One was ordered to touch down and SFC Hawkins ordered to blow the bridge using C-4 explosives. SF Hawkins had to single-handedly defeat the enemy forces and place and detonate the C-4, which completely destroyed the bridge.  The enemy were then forced to detour the whole area.
	
#8793: 	#ame SFC Steve R. Hawkins was for his heroism awarded with the RVN Armed Forces Honor Medal by the RVN area commander.
	
#8794: 	#ame Mission name: Under Siege\n
	Date: January 8th, 1968\n
	Time: 01:30-05:00\n
	Place: Nui Pek camp\n
	
#8795: 	#ame All soldiers were needed to defend the Nui Pek Camp: Special Forces, LLDB and CIDG, all fought heroically, but there was no chance the camp could be saved.  There was resistance for a time and although we lost part of the outer perimeter, there was still a slight chance of victory, if reinforcements arrived on time. But the VC had other ideas and at around 02:00 hours the enemy armor arrived.  There was no chance of defending against this onslaught except with hand grenades and M-79 grenade launchers, which were of course insufficient. There was only one option remaining and that was to order the abandonment of the base.  A signal was sent to the air force, for the need to completely destroy our base. We placed explosives in most of our installations, whilst SFC Hawkins heroically destroyed the tank blocking our escape route, but was wounded whilst doing so. All surviving personnel including wounded were moved out of the base and later evacuated by chopper.  The Air Force bombed all the camp and destroyed most of enemy units around, but it was bitter victory.  I thereby declare that there was nothing that could have prevented this disaster.
	
#8796: 	#ame SFC Hawkins was awarded with the Purple Heart and is due to receive the Republic of Vietnam Campaign Medal .
	
	
	
	
	
	
	
	
	
	
	
#9797: 	#ame June 28th 1967: Today, I arrived at Nui Pek camp which will be my home for the next few months. Nui Pek lies a few miles away from the Cambodian border, in the Pleiku Province v II Corps. The A-216 team I was assigned to lost three Americans recently in encounters with the Cong and they've sent me in as the sole replacement. The A-216 team is lead by Cpt. Samuel Rosenfield, an old war dog whose been through Omaha Beach, Berlin and Korea. 
	
	
#9798: 	#ame There are a few montagnard villages around here, and some of the local men are being trained for the CIDG program (Civilian Irregular Defence Groups). I've heard that our weapon Sergeant Hornster is currently training up some of these guys, teaching them how to shoot the carbines... They seem pretty good! Make some of us look like amateurs! 
	
	
	
	
	
#9799: 	#ame Before I knew it, I found myself in a Mutt, along with Captain and the team medic Crocker, heading for a nearby montagnard village inhabited by the Jarai tribe. Rosenfield wanted to show me around and introduce me to the village chief. The second we got out the Mutt, we came under fire from a VC sniper. Luckily, the rat only had an old Mosin; if he had a Dragunov, I might have not been around to write this. It was, like, welcome to Nui Pek, Hawkins! After I greased the sneaky move, Crocker got to do his checkups and stuff and I enjoyed some friendly banter with the village chief, over the local booze specialty – rice wine (I now know why Crocker steers clear of the stuff)
	
	
	
#9800: 	#ame June 29th 1967: It‘s been raining all day... I‘ve spent it wandering around the camp, and the CIDG commander introduced me to some of his men. Radio Saigonreported that General Duong van Minh, currently in Thai exile, stated he considered running for president in the September elections. However, Ky and his government don‘t want to allow him back for some reason. To be perfectly honest, I‘m not too interested in local politics. Yesterday, I had to sacrifice all the bourbon I brought with me as a treat for the guys. Not that I regret it (well, my head regretted it), they are my family now. When Defort, Bronson and me finished off the last bottle, it was morning already. Good thing I did not have to patrol the next day. 
	
	
	
	
#9801: 	#ame July 3rd 1967: It‘s been pretty quiet around the base so far. I‘ve been here for a few days and I‘m already sick of the muck that passes for food here. Quite different cuisine than in Nha Trang. Yesterday, Crocker and I went to a local village to check out some traditional folk ceremony of theirs. It was fun; these people might be very poor and lead a simple way of life, but they are amazingly kind and friendly to us. Crocker is to them some sort of a miraculous healer and they treat him with great respect, like if he was a guru or something. Besides routine procedures and inoculation, he teaches the locals various useful things, trivial to us, but new to them. He‘s pretty busy, but he seems content with the way things are. \n
	
	9th regiment of USMC got it pretty bad a mile and a half southeast from Con Thien. It is supposed to be somewhere under the DMZ. Apparently, the  90th regiment of the NVA were involved and the Marines lost 35 men. At least that‘s what the radio said.   
	
	
	
	
#9802: 	#ame July 5th 1967: According to the briefing, we‘ll go for a recon patrol tomorrow, through a place called “Three Canyons” and we‘ll check a village named Ap Toc Lap on the way. The montagnards there belong to a tribe called the Bahnar. It‘s Saigon pushing Plei Ku who in turn push us. We all know that one of the routes of the infamous “Ho Chi Minh Path” crosses the border to South Vietnam somewhere around here, but nobody knows exactly where. The intel folks think that this infiltration route goes through the “Three Canyons” and want us to check them out.  \n
	
	Other than that, nothing special happening. Some more sausages with beans for lunch. The South Vietnamese keep wasting ammunition at the shooting range. Everybody‘s bored. I lost 30 bucks to Bronson in poker last night. Lucky son-of-a-bitch!
	
	
	
	
	
	
	
	
	
#9803: 	#ame July 7th 1967: Hell, I should‘ve been thankful for being bored two days ago! Yesterday‘s action turned out a bit too exciting. Moreover, I‘m not quite sure, if all the fuss was worth it at all. We may have taken out a few Congs and tracked down some caches, but to me, there was no "smoking gun" that would suggest the presence of a regularly used infiltration route.
	
#9804: 	#ame Things got pretty rough in the Bahnar village, but we managed to drive the VC away without casualties. Hopefully, the montagnards will take us more seriously now and maybe even join the CIDG program. Crocker told me that not so long ago they didn‘t even want to hear about it. They were afraid that it would do them more harm than good. 
	
	
	
#9805: 	#ame July 8th 1967: Yesterday, one of the big wigs arrived in Saigon. He‘s here to talk to Westmoreland and supposedly, he has instructions from Mr.Johnson himself. I wonder what that means for us? Today, we did a short routine patrol around the camp. The montagnard that accompanied us found a few booby traps. It feels a little weird knowing that the bastards sneak around inside the perimeter while we sleep. \n
#9806: 	#ame I‘ve grown some kind of weird fungus between my toes. Crocker gave me some new powder which is supposed to be more effective than the one I‘ve been using all along. Frankly, it looks and feels just like the old one.
	
	
#9807: 	#ame July 10th 1967: Looks like it‘s not only us who‘s having fun. The Con Thien incident turned into a major jam. The North Vietnamese called in mortars and artillery from Laos. Between 4th and 6th of July alone, they made eight artillery attacks at the Marines‘ positions by the camp and fired off 300 pieces of ammunition. The Marines there suffered heavy losses. 
	
#9808: 	#ame 
	
#9809: 	#ame The army radio reported in the morning that some unspecified South Vietnamese troop yesterday repulsed an attack against their camp five miles southeast from An Loc, led by two battalions of the NVA 14th  regiment. Some other camp was seized by the Commies, but the American and South Vietnamese artillery, combined with the airforce, drove them away the very moment they got in.
	
#9810: 	#ame 07/14/1967: Just an hour ago, the guys and I got in from a three-day patrol trek. Things seem to be nice and quite around here at the moment. We‘ve had no contact, only a few booby traps and a few commie propaganda fliers. The village chiefs all say that they haven‘t seen any guerilla fighters for days. The fact that I didn‘t take off my shoes for three days was more than my fungus could have hoped for. If I wore a pair of heavy leather boots and socks, my feet would‘ve probably been two rotten stumps by now. 
	
#9811: 	#ame The guys who stayed in Nui Pek said that we‘ve suffered heavy losses in the Central Highlands! The word of mouth has it that about 400 paratroopers of 173rd parabrigade happily swallowed the bait and wandered into mortar and machine gun at Dak To, near Kon Tumu. 29 KIA, 49 WIA! The 4th infantry got it near Duc Co – 35 KIA and 31 WIA!    
	
	
	
	
#9812: 	#ame July 15th 1967: Bored to death - good time to write the loved ones back home. In the morning, I was running around the parade ground with our cidgees (CIDGS), then a bland tasting lunch and a random weapon/equipment check. In the evening, I lost a bottle of Whiskey in another card game. Man, this pisses me off! I got a feeling that Bronson cheats. I won that bottle fair and square a week ago from our LLDB pointman Nhut and had great plans for it. Ever since the welcome party, I‘ve been completely sober... Oh well. 
	
#9813: 	#ame July 16th 1967: Tonight‘s my turn for a night guard shift. For half a day, I‘ve been trying to show the new CIDG recruits how not to shoot themselves with M-1s. Congs are said to have bombarded Da Nang with rockets. 12 of our people KIA and 45 WIA. I‘d better get some sleep for the night.
	
#9814: 	#ame July 25th 1967: Another three day patrol trek behind me. We did a tour of “our” villages. We had just one visual contact. Before we could come close, the VC jumped onto two boats and drifted away. Other than that, calm everywhere. The villagers didn‘t report anything suspicious either. We had them all rounded up in the center of their village and Crocker did his thing. I was out of luck this time though – on our way back, I stepped right in to a punji trap. I was lucky to have Hornster around; he caught me just in time, so the bamboo spike only scratched my foot instead of piercing the whole foot. Still, it caused a nasty wound. Crocker treated me right on the spot, but it still hurts like hell. God knows what kind of poisonous crap they might dip these spikes in, crocker says they use their own crap! – I prefer not to think about it. I hope it‘s not going to be anything serious.  \n
	Other than that, the 4th infantry division wiped out about 40 North Vietnamese south of Duc Co. Also, I‘ve read a memo saying that a few of our potentates were going to visit us here in southeast Asia. As I said, I‘m not that interested in politics. I couldn‘t care less about the likes of Taylor, Clifford or Mc Namara these days. 
	
	
	
#9815: 	#ame August 6th 1967: Just came back from Plei Ku. Unfortunately, the wound turned out more serious than I had wished. The foot got inflamed and I got a nasty fever during the night. A Huey had to give me a lift to the field hospital in Plei Ku. I spent several days sweating, and for the rest of my stay there, I was just lazing around. Got plentyof sleep in the safety of a field hospital, plus, the food was much better than the crap they usually feed us. I should do this more often. \n
	
#9816: 	#ame While I was sick, I didn‘t have any access to news. The only thing I heard was the situation on the Forestal flattop, some ammunition apparently went off and a lot of marines died there…
	
#9817: 	#ame August 14th 1967: I haven‘t been writing for a while, because there‘s nothing worth writing about here. I‘ve been bored to death, since my foot is still not quite fit and I can‘t even do the guard shifts, let alone patrol, all I do is train our CIDGs, teach them how to shoot, place mines and practice short-range fighting skills with them. \n
	LLDB and our CIDG montagnards often patrol around the border, and they report contacts almost every time they go there. Seems pretty hot. \n
	Our bombers attacked targets in North Vietnam,  Lang Son, Lang Gai, Lang Dang (I wonder where these places actually are, but I‘m too lazy to look them up on a map), and they say that even the Douimier bridge in Hanoi was targeted. Hanoi‘s become a pretty busy place lately, too. Not so long ago, our bomber crews were threatened with court martial for attacking targets near Haiphong and Hanoi, and now they‘re throwing officially sanctioned shells on airports, SAM nests and God-knows-what else. Uncle Ho finally reaps the harvest he has sown.    
	
	
	
#9818: 	#ame August 21st 1967: Yesterday, it was my first time outside the camp since I was wounded. Nothing changed there except for a few shoeprints of Ho Chi Minh sandals and shreds of flesh around one of our landmines. I was surprised at how nervous I was – I saw a crouching Cong behind every bush. Other than that, I‘m fine.  \n \n
	The army radio has kept reminding us since the early morning that two days ago, a lieutenant Vernon with his UH-1 extracted some Americans from a downed Huey right in front of the VCs‘ noses. The VC apparently almost got them, but this Vernon guy with his gunners pinned them down with M-60s and rockets and saved our boys‘ asses. There‘s nothing like good news for a morale boost.
	
#9819: 	#ame August 23rd 1967: It‘s been raining for two days already. Life is back on track for me now. I do guard shifts, train the montagnards and treat my fungi-infested feet. I haven‘t written home for a long time. For some reason, I haven‘t felt like it lately. Even writing this seems like too much effort. Yesterday, a villager let me have a sip of buffalo milk. It reminded me of home. \n
	The guerillas shot down a South Vietnamese helicopter about 7 miles away from here yesterday. We went there today to examine the site, but nobody survived and the South Vietnamese had already recovered their dead. We hoped to catch somebody from the other side there, but we weren‘t that lucky! 
	
	
	
#9820: 	#ame August 28th 1967: Finally, the weather turned fair. But it’s supply logistics thats having problems: we‘re on a fart diet - beans and beans and more freakin' beans! The life here is pure routine. For an hour, I sunbathed my poor feet, which shed stretches of dead skin afterwards. That felt kind of good. I also had six cigarettes in a row, for the lack of a better occupation. \n
	However, the rest of South Vietnam is outraged. Yesterday, the guerillas conducted a series of attacks against civilian targets across the land. The most affected places were Can Tho and Hoa An.  \n
	
#9821: 	#ame August 31st 1967: Bored shitless... I came back from the night patrol duty in the morning and slept past lunchtime. The news from the battlefields is depressing again. The guerillas used rockets to attack a marine huey base in Phu Bai, killed two of our men and wounded 17. They destroyed 13 hueys. The radio went on to enumerate the losses of the South Vietnamese, but I‘ve grown tired of listening and joined the guys for a poker game instead. Damn it, I lost again! Damn Bronson!!!
	
	
	
	
	
	
	
#9822: 	#ame September 1st 1967: Gee, now that was a close one! I'm one lucky son-of-a-bitch. Any closer, and I would not be sat here now writing these words! \n
	The Congs infiltrated our camp during the night! That‘s why it‘s been so quiet around here for so long. One of the bastards even managed to sneak into the bunker. At one point I was getting ready to say hello to heaven. Then the sons-of-bitches got there shit together and fought back in one sector of the base. The strangest thing of it all is that they somehow managed to dig a tunnel all the way to the base. God knows how they managed that. You'd better sleep with a primed heater under the pillow here! I suspect there must be some of these commie sons-of-bitches among our cidgees too. They all smile at you, but as soon as you turn around, they are ready to stab your back. My personal opinion is that they would not be able to infiltrate the perimeter without accomplices inside. In the morning, I had a discussion about this with Hornster and Defort and they think so too. Sometimes I ask myself why the hell we are here at all. I feel depressed about it all. \n
	But no matter what, somebody‘s gonna pay big time for this cock-up. I‘d say it‘s bad news for the commander of our Vietnamese friends. I‘m dog-tired – gonna get some sleep now.  
	
	
	
#9823: 	#ame September 4th 1967: The elections ended yesterday. We‘ve been on full alert for three full days, because the red rats obviously don‘t like the smell of free elections. However, in our area, they tried it just once: ambushed a convoy of several ARVN transporters, but they were taught a fine lesson by our boys. Our montagnards didn‘t give a damn about the elections, but the LLDBs led long and heated discussions on the subject. The radio reported that Thieu won again, while the vicepresident is going to be marshal Ky. As far as I can tell, he is probably one of the most capable South Vietnamese politicians around. \n
	A confidential report from my personal source: on the evening of Sept.3, 267 incidents were reported for the whole area of the Vietnamese Republic. Cong killed 60 persons and wounded 300 more. Apparently, they even attacked some U.N. observers. 
	
#9824: 	#ame September 8th 1967: Our area seems quiet. The only signs of enemy activity were reported near the border. We carry out our routine procedures, in the camp as well as outside of it. Guards, patrols, training...  \n
	I wrote home today. I tried to take pics of sunset, too – there are some gorgeous sunsets here – I hope they turn out well. I‘ve also taken about 30 pictures of our montagnards – they were so funny, all grinning from ear to ear. A well-rehearsed foot powdering procedure followed – I was naive to think I could get rid of the foot-rot easily and quickly, they're starting to smell pretty fruity too...
	
	
	
	
#9825: 	#ame September 13th 1967: Yesterday, we captured two suspects. We are convinced that they belong to the mainforce VC and that they were prowling around here to keep an eye on the base. They claimed they were deserters. We searched them for weapons but found none. All in all, they were pretty lucky that it was us who caught them and not the LLDBs, because then they would be probably lying somewhere in the jungle with bullets in their heads already. A chopper took them to Plei Ku for further interrogation today. \n
	The U.S. Army continues its attacks in the North. Lately, Cam Pha and Haiphong have been the targets. 9th infantry is said to have launched a major operation in the Delta.  \n
	
#9826: 	#ame September 15th 1967: Tomorrow, we're going on a patrol which I think is a big mistake. The HQ have been bombarding Rosenfield lately with alarming news about LRRP reports from Cambodia and Laos. Long distance reconnaissance of Ho Chi Minh Trail spotted movements of North Vietnamese heavy armored vehicles. They think that the NVA are transferring a certain number of T-34s, T-55s and PT-76s to the South Vietnamese border. Uncle Ho and his stooge Giap are either up to something big, or they are trying hard to persuade the Cambodian government about the absolutely indispensable presence of NVA and Vietcong in Cambodia. I personally favor the latter explanation. Simple, good old commie blackmail tactics. In our area, the North Vietnamese haven‘t been up to much... So far! The jungle around us is all black pyjamas and nothing else. However, it‘s true that the LLDB have reported an increased number of regular army soldiers around the borders. Even the people in Plei Ku said that the North Vietnamese have been growing in numbers lately. \n
	Anyway, the intelligence guys have found something suspicious in some of the air recon shots and the commanders in Plei Ku are so concerned about the Cambodian LLRP reports that they send us to "sniff out” any enemy armour. Unfortunately, the jungle is so dense here that the air recon is good for nothing, so we‘ve gotta do it the old fashioned way. The bad part is that if they really are tanks, the only thing we can do apart from spitting at them is run. The briefing ordered us to call in fire support, which should sort it out... Well, we'll see. 
	
	
	
	
	
	
	
	
	
#9827: 	#ame September 17th 1967: Hello again, Vietnam! I thought I would never get to see you again. We stepped into deep deep shit yesterday on that old French road. The Congs had the upper hand as we had to insert on the other side of the river, and they had just manned some old French bunkers by the bridge, waiting for us. We zapped 'em, but a few of our guys are KIA. The third team got it pretty bad. We found and collected their WIA and dead, but one of them is still MIA. Nhut discovered an entrance into a tunnel system and guess who was ordered to search it! The Vietcong tunnels are a freakin' nightmare come true. As I was looking for our MIA, I discovered a whole underground city. Man, I wish I could forget yesterday, just erase it, wipe it out of my head and never, ever live through it again! In the end, I was picked up by an LLDB river patrol and then a Huey gave me a lift back home. Madness...  \n
	And the whole thing was for nothing because what our brass hats thought were Ts were just a steaming pile of French Chafees - junk. 
	
	
	
#9828: 	#ame September 19th 1967: Mekong Delta sounds like fun. One skirmish after the other. In Saigon, the commies attacked the Free China Embassy. I had a bit of a holiday up 'til today to rest after those tunnels, so I took a ride with a ration supply chopper to Plei Ku. I almost missed the ride back home, this time with the ammunition supply Chinook. The guys were pretty happy about the few bottles of beer and bourbon that I bartered from some REMF dude for a ragged old VC flag, which I grabbed somewhere in the tunnels. 
	
#9829: 	#ame September 20th 1967: Our locals just snatched one of the traitors that prepared the nice surprise on Sept. 16. I, because of my specialization, assisted with the interrogation. Well, what happened is that the LLDB took him aside for a few hours and after that, and a few gun shots, he told us that the Congs keep our MIA in a fishing village near the tunnels. They are waiting for things to calm down a little and then they'll drag him to Cambodia, and because he‘s a Green Beret, they supposedly want to have him in Hanoi. Uncle Ho is said to pay good rewards for Green Berets – dead or alive. We definitely don‘t have much time to save our buddy’s ass.  \n
	
#9830: 	#ame September 21st 1967: We got a plan... After midnight, we‘ll go get our guy and walk him back home - sounds easy... I should‘ve known. The Colonel is afraid that a daytime rescue operation would be too risky. Nhut is going to lead us there, a swamp full of huge mosquitoes and God knows what else, the only maps we have are the out-of-date Japanese ones. In short, nobody really knows what we can expect there. I‘d better get some sleep before the trek.
	
	
	
	
	
	
	
	
	
#9831: 	#ame September 22nd 1967: Lucky again! Survived another battle. We rescued the guy, Marvin Fisher, but it was no tea party! Anyway, old Ho will not be able to use that village as a base in the next 100 years. The LLDBs just left to examine the place, so I‘m curious if they‘ll find anything interesting. I doubt it, though. The VC who hung around, are gonna be dust, and if somebody survived the napalm by accident, they won‘t stop running before they reach the 17th parallel.  \n
	Last night, a shipment of new M-16s came in – finally! They are light but effective weapons. The only hitch is that we have to use only 18 bullet magazines, because of jamming problems. Better to have two bullets per magazine less than risk the weapon jamming after one shot. 
	
	
	
	
	
	
	
	
	
	
#9832: 	#ame September 23rd 1967: Well, since yesterday, F-4s, F-5s, A-1s and A-26s have been roaring right over our heads. It feels like goddamn Hanoi here now. The lousy village where they kept Marv was quite special after all. Our locals came back with some interesting news. We must‘ve hit the mark! Cong had some sort of quarters there – Duong, one of the LLDBs, said that it might have been the HQ of VC 133rd regiment! So close to Nui Pek! He also said that there are guerilla fighters all over our AO, trying to get to the border. Our birds are attacking them and the air is getting thick around here.  \n \n
	They‘ve gathered us together with some CIDG and some South Vietnamese infantrymen transferred from the Plei Ku area and sent us to block a few of the probable escape routes as well as a 20-30 mile long stretch of the border. Our propaganda guys always come in during the breaks between bombardment, sprinkle the jungle with fliers and tell the locals (through a megaphone) that it‘s a good idea to surrender. A few reds did surrender and Rosenfield sent us to wipe the area clean.  
	
	
	
	
#9833: 	#ame October 6th 1967: Along with the LLBD we have been patrolling the border for two weeks. A few Congs surrendered, but the rest would probably rather die. I wonder what makes them that stubborn. Anyway, I‘m glad to have that all behind me! VC in front of me, NVA behind me, not my idea of fun. \n \n
	I went to the shooting range today to try out a Chinese-made Kalashnikov, the property of one of our Montagnards. It‘s an unbelievably sturdy weapon. Also unbelievably imprecise. You can tell it’s just a Chinese copy, not the real thing. It’s also four pounds heavier than the M-16.  \n \n
	The guys in the North leave no stone unturned. From what I’ve heard, we gave the comrades there a pretty good beating; their MiGs are going down in numbers. I only wish that the pilots dropped us something from their officer canteens instead of white phosphor and napalm!  \n \n
	
#9834: 	#ame October 18th 1967: Since the last entry, the situation has calmed down. We have been spending most of our time lately with CIDG training and reinforcing the base defense structures. We have a couple of new nests, as well as machine gun and mortar posts. But more importantly, we have put some sandbags around the connecting trenches and the older nests. The rain and humidity literally eats them away, just like my rotten feet. We also had to cut down the jungle around the perimeter again, it always comes creeping back…  \n \n
	When we have some time off, we either play baseball during the day, or poker in the evenings. I've had a good run with the old poker (for a change), but that may be because Bronson has left for R&R in Saigon for a few days.  \n \n
	The first cavalry division has started moving North. Its 3rd brigade has been operating since the beginning of the month in the provinces of Quan Tin and Quang Ngai. The army radio reports intensification of air warfare in the North. I wonder if somebody is still left alive there besides Ho and Giapo? If I were to believe what the army radio tries to shove down my throat, the commies would all have been killed long ago. 
	
	
	
	
	
	
	
	
	
